yas,cinsiyet,boy,kilo,bmi,vucut_tipi,kas_orani,yag_orani,kemik_yogunlugu,hiz,kuvvet,dayaniklilik,esneklik,koordinasyon,denge,reaksiyon_hizi,ailevi_spor_gecmisi,anne_spor_durumu,baba_spor_durumu,dominant_el,spor_yili,onceki_sporlar,en_basarili_spor,yaralanma_gecmisi,stres_toleransi,takım_oyunu_tercihi,yarışma_tutkusu,konsantrasyon,coğrafi_konum,ekonomik_durum,tesis_erisimi,tavsiye_edilen_spor,skor_futbol,skor_koşu_atletizm,skor_basketbol,skor_voleybol,skor_yüzme,skor_güreş,skor_tenis,skor_bisiklet,skor_jimnastik,skor_boks
19,Erkek,177,70.6,22.4,Mezomorf,23.7,11.4,Düşük,6.4,8.4,5.2,5.8,4.1,4.9,6.0,Yok,Sedanter,Sedanter,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,4.9,Karma,5.9,6.2,Doğu Anadolu,Orta,Orta,Boks,70.4,51.6,72.1,53.9,73.7,71.5,67.8,74.4,51.3,74.5
26,Kadın,161,50.2,19.5,Ektomorf,18.5,6.1,Düşük,6.7,2.3,6.5,8.5,4.8,3.9,3.9,Var,Aktif,Sedanter,Sağ,11,"['Futbol', 'Basketbol', 'Voleybol']",Futbol,Ağır,5.5,Takım,2.4,5.2,Akdeniz,Düşük,Orta,Koşu/Atletizm,56.4,73.2,71.9,71.9,67.9,47.6,52.5,61.6,62.7,44.4
35,Erkek,170,64.0,22.0,Mezomorf,19.7,13.5,Orta,5.5,5.4,5.2,4.3,4.4,5.5,3.5,Yok,Aktif,Sedanter,Sağ,11,"['Yüzme', 'Futbol']",Futbol,Yok,6.7,Bireysel,4.4,5.0,İç Anadolu,Düşük,Zor,Bisiklet,62.0,49.9,62.8,44.7,64.7,64.4,59.5,69.1,44.7,62.9
41,Kadın,157,45.2,18.4,Mezomorf,18.4,15.7,Düşük,4.9,4.2,5.1,4.9,3.1,3.9,3.8,Var,Aktif,Aktif,Sağ,13,"['Atletizm', 'Basketbol', 'Futbol']",Atletizm,Ağır,6.5,Karma,3.6,5.1,Akdeniz,Düşük,Kolay,Futbol,65.6,49.3,65.1,46.9,61.8,60.2,57.6,62.7,38.4,60.0
27,Kadın,167,58.3,21.0,Mezomorf,21.1,19.0,Orta,4.8,5.9,5.4,5.7,3.8,4.0,5.9,Yok,Sedanter,Sedanter,Sol,13,['Tenis'],Tenis,Ağır,5.9,Takım,4.4,7.9,Güneydoğu Anadolu,Yüksek,Orta,Yüzme,67.3,49.3,67.4,49.2,68.1,65.5,64.0,67.3,44.4,67.3
12,Erkek,165,50.3,18.6,Mezomorf,20.4,7.7,Yüksek,4.5,4.8,4.1,3.8,5.5,5.5,6.3,Yok,Sedanter,Sedanter,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,4.0,Bireysel,5.1,5.2,Ege,Düşük,Kolay,Bisiklet,60.2,47.1,62.4,44.2,60.1,60.4,63.8,65.3,44.7,63.1
44,Erkek,164,52.5,19.6,Ektomorf,21.5,11.4,Yüksek,6.1,3.4,6.0,4.5,4.1,6.0,5.4,Yok,Aktif,Sedanter,Sol,15,['Tenis'],Tenis,Yok,5.5,Takım,5.4,7.9,Marmara,Düşük,Kolay,Koşu/Atletizm,53.1,71.3,69.9,69.9,62.1,45.3,45.6,67.6,60.0,47.1
46,Erkek,167,55.3,19.8,Mezomorf,18.8,11.5,Orta,4.6,4.7,5.4,5.4,5.3,5.1,5.1,Yok,Aktif,Sedanter,Sağ,25,"['Futbol', 'Güreş', 'Yüzme']",Güreş,Ağır,5.9,Bireysel,2.2,4.1,Ege,Düşük,Orta,Bisiklet,62.4,49.3,62.5,44.3,65.4,64.7,64.4,67.1,46.4,63.3
47,Erkek,183,79.0,23.7,Mezomorf,19.1,18.8,Düşük,4.0,5.4,5.2,3.6,3.7,5.0,3.6,Var,Aktif,Sedanter,Sağ,8,"['Tenis', 'Voleybol', 'Basketbol', 'Futbol']",Voleybol,Hafif,8.7,Bireysel,2.3,6.6,Marmara,Düşük,Orta,Bisiklet,58.0,46.9,60.4,42.2,65.0,62.2,54.4,68.0,41.3,60.4
34,Kadın,156,42.7,17.6,Ektomorf,18.0,7.3,Yüksek,7.3,1.8,7.0,7.2,6.7,4.5,4.3,Yok,Aktif,Sedanter,Sağ,14,"['Tenis', 'Futbol']",Futbol,Hafif,5.3,Bireysel,5.8,4.3,Marmara,Düşük,Zor,Koşu/Atletizm,54.5,75.5,68.6,68.6,65.0,46.4,55.5,62.9,64.0,46.2
